d_tsv,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
5.08,99.49,51.03,1463.6022122413947,1156.5855964317943,1447.0893281960698,1151.915802594946,95.66819263637613,21.76021493533937,838.0949368980798,186.96995725921724,0.03388397886814257,0.00628808681369592,1.6144721311576307,0.309712759062597
10.61,98.44,49.97,520.6356770253236,238.15847658028298,891.0320608116692,797.0234603467319,110.35907066708613,19.022993617078658,1364.752826710538,263.616937475246,0.024688977249810017,0.010729863886749968,1.515298333257429,0.4993582677183339
12.22,78.29,45.14,474.6479614796498,187.68688875685893,890.6268164948431,673.6817045756278,117.43833934059376,20.14032110257187,1511.6011861968661,339.4795474388287,0.021082453380018563,0.01567005440410962,1.482785484060688,0.4700078033800624
13.84,89.66,59.86,412.21377700226714,150.92886273201532,747.1476199624817,825.7464527422917,105.31110533343039,17.64181888868504,1684.1900484926248,282.8360646525959,0.02400325835910149,0.015954821529119458,1.5253349990419176,0.4303697719250319
10.47,62.48,43.93,526.9483627370277,212.62697597035643,1233.1051757869752,774.9485285101546,151.89046994937524,27.503459995219053,1396.9088925882693,307.4007520459092,0.022835671491206154,0.016271067534596714,1.4013019208205595,0.5152961871758136
12.37,52.35,54.32,520.3375035163376,218.50505749203154,948.8360844405014,927.1077753710123,120.09601564547373,20.78067392887952,1558.416629112141,292.0822631233382,0.024090309575109554,0.013820797660043056,1.506819532978248,0.4697789234428932
13.36,87.99,50.0,431.19316205807655,157.76168667873472,808.3752027374128,690.5451951519797,110.73592830220643,18.79029204708314,1622.561803219353,330.8994696889459,0.02143874423698277,0.017290728647300233,1.5013040753251592,0.44424293191509945
9.18,60.91,45.67,805.8435955283156,403.4556513230197,1208.165283553408,885.0269908129034,109.24482386261651,19.918585201822296,1305.7232459802963,270.71609361815183,0.02515428808571117,0.01002359044870913,1.6711925310033524,0.45747269297148374
6.12,51.68,51.59,693.2379401246302,2320.060824476232,1873.58210371799,1245.3858260771462,917.1061311726363,45.79004968273027,1107.3510303861997,217.3337197485604,0.031181228861466678,0.006236922839958634,2.4730896296481344,0.5229973423784651
11.55,77.41,40.06,488.310547610511,166.57121102719748,1048.3902253041617,610.3858909699402,132.73268498127558,23.641911109678933,1451.4486871738486,369.66143232992016,0.020005860010972123,0.015576105626145574,1.3835339954517292,0.5081057918627643
14.38,98.25,46.89,415.72530392105926,137.51039894966377,811.534041019571,577.2260054242973,114.76195001579786,19.361998922986988,1728.1515103287586,395.4730225597402,0.01931679591386312,0.021909429612946528,1.4845884868551082,0.430379584476944
5.19,78.64,53.11,730.7980936280543,4446.316524757527,1966.4690480440177,1228.8182663271366,1595.143721459973,44.99862782589725,900.8167697197833,190.77706973859773,0.03394085969141367,0.005862138801219724,4.658762256623463,0.4841707676030391
14.57,55.06,57.07,492.7468318716332,181.71164834192382,931.7320502502924,866.1810864903442,123.39199410355754,21.24406592353994,1784.2435857577266,326.7303675292392,0.022619581960931955,0.019721887617457048,1.5094948201892595,0.43943473373113245
11.23,92.6,58.41,485.78938611534085,211.78606429578647,826.6053440178507,907.895217453149,106.84807158162106,18.173295011770932,1435.3362630986187,242.2545111638481,0.02658365310454303,0.01059954352086062,1.5267655918582292,0.48392708721894634
9.48,80.71,41.41,664.8642951815506,341.19378790780826,1085.93823673999,739.1438306949291,115.04109035248568,20.735673419182476,1282.4932827657979,293.3393079561048,0.02314751038595558,0.010755131946106349,1.5504455814996996,0.49029923144065857
13.07,52.8,48.98,482.98291092370624,119.65461754634707,1094.3652466562191,781.4852188226511,138.15681316061355,23.98583999864894,1614.0728996209734,343.5131341210502,0.02155838413754586,0.020811606743622698,1.4074997401650224,0.5141881497249547
10.75,80.55,55.18,539.6641463250987,250.1520505803656,912.2540121701055,912.4786145302947,110.83837485032792,19.179825823228057,1398.2063834310818,248.41343830940284,0.026229715218827748,0.010300145773540322,1.5292047459493705,0.49453661390766657
